162,5602238154948720,66171 Northview Point,$7.03,Bag - Regular Kraft 20 Lb,1706176974
147,3561816300541038,9852 Holmberg Point,$7.79,Longos - Greek Salad,1706176975
183,3545403149480610,1 Lotheville Center,$5.35,Longos - Chicken Wings,1706176976
73,675980148753350172,18 Mcbride Alley,$7.69,Pepper - Cubanelle,1706176977
10,4026768728247796,519 Hazelcrest Plaza,$4.34,Veal - Liver,1706176978
154,337941293150081,923 Fairview Hill,$9.57,Zucchini - Green,1706176979
142,3559784836471829,0053 Basil Terrace,$0.25,Bread - Granary Small Pull,1706176980
79,5602246452574304,2 Hauk Park,$9.68,Mushrooms - Black Dried,1706176981
75,3583978786280509,57050 Golf Course Avenue,$5.97,Appetizer - Mini Egg Roll Shrimp,1706176982
28,56022416145805416,28718 Meadow Valley Way,$5.74,Lighter - Bbq,1706176983
29,5100130437514527,61 Clarendon Parkway,$0.08,Cheese - Valancey,1706176984
143,5602226770581397,6 Fairfield Parkway,$0.10,Apples - Sliced / Wedge,1706176985
147,5562487429832346,59453 Mallory Parkway,$5.19,Cookies Almond Hazelnut,1706176986
157,4041375854965,9498 Dunning Center,$5.68,Tart - Lemon,1706176987
45,3570264771564628,66 Hoepker Way,$0.80,Lettuce - Frisee,1706176988
172,3576124483659195,394 Crescent Oaks Crossing,$5.79,Muffin Mix - Morning Glory,1706176989
183,5100140049598677,1 Scott Center,$3.74,Oil - Food Lacquer Spray,1706176990
37,6399887943168951,7412 Arizona Alley,$5.71,Loquat,1706176991
41,3551286210976629,55060 Coleman Alley,$1.91,Pesto - Primerba Paste,1706176992
111,560222037716170557,07703 Grayhawk Point,$0.81,Trueblue - Blueberry,1706176993
158,3582516943383690,63 Orin Center,$8.11,Wine - George Duboeuf Rose,1706176994
41,5602232528129703987,3312 Mariners Cove Terrace,$3.39,Danishes - Mini Cheese,1706176995
179,30178620507374,504 7th Avenue,$5.80,Coconut - Whole,1706176996
195,4026132942613152,4 Milwaukee Lane,$9.56,Clementine,1706176997
159,3585964306758578,50189 East Crossing,$5.52,Pomello,1706176998
9,5105769215782882,9 Stone Corner Circle,$3.42,Pasta - Gnocchi Potato,1706176999
117,3534247868566882,01223 Ridge Oak Alley,$9.49,Wine - Casablanca Valley,1706177000
116,4041379907480272,2195 Lawn Junction,$3.41,Huck Towels White,1706177001
190,3584660537494113,616 Fallview Park,$9.28,Liqueur - Melon,1706177002
153,30129906739512,1322 Del Sol Crossing,$7.43,Salt And Pepper Mix - Black,1706177003
21,374288897054440,631 Buena Vista Point,$0.31,7up Diet 355 Ml,1706177004
38,3567905654819548,36648 Lakewood Drive,$4.03,Corn - On The Cob,1706177005
140,4041593945843,5 Loeprich Pass,$0.41,Wine - Hardys Bankside Shiraz,1706177006
173,3539684518108803,613 Fieldstone Hill,$2.55,Cake - Sheet Strawberry,1706177007
191,493683861551112788,3021 Blue Bill Park Center,$4.41,Bread - Granary Small Pull,1706177008
161,3546635602143818,053 Lerdahl Pass,$5.86,Broccoli - Fresh,1706177009
123,30257326855681,18 Sloan Circle,$2.27,Coffee Beans - Chocolate,1706177010
164,50381783048309707,72 Lotheville Drive,$0.25,Beef - Tenderloin,1706177011
69,3584791519460176,2 Fuller Avenue,$8.19,Kohlrabi,1706177012
123,5563307504767515,42 Commercial Court,$3.77,Wine - Bouchard La Vignee Pinot,1706177013
197,503890921978090101,0588 Sauthoff Point,$7.60,Pork Salted Bellies,1706177014
169,3549187844371853,1 Aberg Center,$1.12,Tilapia - Fillets,1706177015
91,6334005089282032346,0283 Grover Drive,$9.52,Samosa - Veg,1706177016
191,3580475156127355,72116 Old Gate Circle,$6.63,Wine - Chateau Timberlay,1706177017
174,5316246814755424,340 Hagan Junction,$9.63,Lid - 101216 Oz,1706177018
57,3540346608439996,2975 Bartelt Terrace,$0.28,Maintenance Removal Charge,1706177019
38,5010123484477176,0693 Dwight Crossing,$8.27,Lemon Pepper,1706177020
150,5100148605617336,332 Dayton Terrace,$3.20,Cornish Hen,1706177021
125,4026517255552171,880 Esker Court,$9.86,Bay Leaf Fresh,1706177022
182,5108758324748519,22346 Prairie Rose Park,$7.43,Nantucket - 518ml,1706177023
186,374622461939992,73 Bluejay Drive,$2.69,Trout - Hot Smkd Dbl Fillet,1706177024
37,5428181832130877,90620 Northport Drive,$5.32,White Fish - Filets,1706177025
64,3552329281889781,5323 Holy Cross Crossing,$2.72,Split Peas - Yellow Dry,1706177026
73,3528193354872392,65 Westend Terrace,$7.96,Chocolate - Semi Sweet Calets,1706177027
93,3587550873770514,7570 Beilfuss Alley,$3.88,Salt And Pepper Mix - White,1706177028
28,5610519326401718,6 Hintze Hill,$6.56,Pork Loin Bine - In Frenched,1706177029
68,3572066539249675,9 Havey Way,$1.32,Mushroom - King Eryingii,1706177030
109,3532323496640126,8126 Express Trail,$7.36,Cheese - Colby,1706177031
169,6333940476413614,9713 Bobwhite Park,$9.27,Dried Figs,1706177032
10,3576629151180308,914 Monica Junction,$5.69,Appetizer - Cheese Bites,1706177033
143,50388388040055820,631 Prairie Rose Parkway,$5.70,Alize Red Passion,1706177034
71,5570301223009193,875 Texas Alley,$1.37,Brandy - Bar,1706177035
137,5100177434913855,4789 Northland Place,$1.26,Pasta - Cannelloni Sheets Fresh,1706177036
72,3546950662711622,081 Crownhardt Park,$3.94,Beer - Creemore,1706177037
194,56104181013571299,5 Waywood Crossing,$2.60,Mushroom - Crimini,1706177038
11,6706603323931783172,26 Annamark Crossing,$0.97,Iced Tea - Lemon 460 Ml,1706177039
4,374622363802066,59 Tony Plaza,$7.13,Cake - Bande Of Fruit,1706177040
40,3589370677464935,5632 Heath Hill,$8.85,Tomatoes - Cherry,1706177041
52,3583205865805786,373 Warner Hill,$2.29,Tomatoes - Cherry,1706177042
33,5610853675051802,937 Meadow Vale Hill,$1.47,Cheese - Woolwich Goat Log,1706177043
8,6767675016914357320,3435 Esker Junction,$3.08,Rice Paper,1706177044
100,30588758611147,2 Hauk Park,$2.91,Flour - Whole Wheat,1706177045
180,3564055267202709,53593 Bonner Center,$3.75,Tea - Darjeeling Azzura,1706177046
90,337941829547917,3 Shoshone Court,$0.49,Sauce - Marinara,1706177047
148,5641829302528910,8 Eastlawn Lane,$0.64,Bread Base - Italian,1706177048
176,3563690420023914,4204 Di Loreto Hill,$8.89,Appetizer - Escargot Puff,1706177049
150,201912453858063,76485 John Wall Circle,$3.11,Pork - Bacon Double Smoked,1706177050
169,3578825795977400,340 Canary Junction,$5.86,French Pastries,1706177051
73,5521775880472101,67625 Shoshone Avenue,$5.86,Dasheen,1706177052
182,3577661828256038,6 Browning Point,$6.35,Corn Kernels - Frozen,1706177053
150,5007669121008514,31 Continental Court,$3.75,Tea - Herbal Sweet Dreams,1706177054
45,3577476939958046,6 Jay Avenue,$8.99,Sauce - Hoisin,1706177055
146,5641828004639880622,69 Lukken Drive,$9.40,Lamb - Whole Head Off,1706177056
42,30418058264944,81485 Lighthouse Bay Alley,$4.08,Sole - Iqf,1706177057
173,6377331155731699,1442 Westend Lane,$4.06,Okra,1706177058
164,3537977486543684,652 Magdeline Road,$3.98,Petite Baguette,1706177059
196,3554786198076646,133 Birchwood Center,$3.21,Chocolate Bar - Reese Pieces,1706177060
149,3570445836671777,43181 Monterey Place,$8.51,Juice Peach Nectar,1706177061
94,3583870581293425,4 Ridgeway Plaza,$4.39,Wasabi Powder,1706177062
32,3541992815769110,1126 5th Alley,$2.32,Lobak,1706177063
138,3573057255287246,85932 Talisman Park,$6.18,Cheese - Parmigiano Reggiano,1706177064
51,3556459578635492,802 Onsgard Crossing,$9.91,Arizona - Green Tea,1706177065
